0.1	5.664858931139862e-12	1.512686513812052e-08
0.2	1.1337560380505131e-10	5.927106594603439e-08
0.4	1.7458565793514832e-09	2.3668801971855242e-07
0.6	8.413208733661762e-09	5.293203009119168e-07
0.8	2.5377348159759342e-08	9.61020210026694e-07
1.0	6.894899818044339e-08	1.5090766482103427e-06
1.3	1.7034528318655133e-07	2.505366499364753e-06
1.6	3.6829319833559867e-07	3.85425140120942e-06
2.0	9.562594491703204e-07	5.891039348845145e-06
3.0	4.41556412924927e-06	1.3465090518380166e-05
5.0	3.430557615594486e-05	3.7350897931796836e-05
7.0	0.0001692692635991967	7.327589784076471e-05
10.0	0.0007179737475263171	0.00014757275985923145
15.0	0.0026827133378614252	0.000339699536915358
20.0	0.009964590318868953	0.0005996013381366443
