1	2.4767173899463836e-13
4	2.905164431058498e-12
7	3.263789011722303e-11
10	7.79025221182859e-11
13	1.1331116546565754e-10
16	1.7057926445325528e-10
19	2.345753566387886e-10
22	3.102186686508545e-10
25	4.224836772184358e-10
28	4.711687333850986e-10
31	5.88169028833023e-10
34	6.812004518637033e-10
37	6.815324568673122e-10
40	8.923402617767366e-10
43	6.490647604191565e-10
46	3.143455521899938e-10
49	1.6542285329267774e-10
52	9.171991322235425e-11
55	2.7574821698591828e-11
58	6.7214833825019325e-12
61	2.0878930336863945e-14
64	2.0828891570942266e-16
67	2.2432775647044325e-17
70	1.2001832284542923e-16
