1	3.8765253684842596e-11
5	3.2498262191043995e-11
9	9.467226101549758e-11
13	8.346225355800331e-10
17	2.5794185050302058e-09
21	6.434563015664742e-09
25	1.2843637520429885e-08
29	2.4566943640806923e-08
33	4.104839141436191e-08
37	6.284713288490446e-08
41	9.366604623645672e-08
45	1.3502650818626402e-07
49	1.6189549089228106e-07
53	1.8038172925265026e-07
57	1.9193922205825431e-07
61	1.988252888262847e-07
65	1.9556755761372876e-07
69	1.9513607687379447e-07
73	2.0133250603356805e-07
77	1.9888385924404715e-07
